TUCASEID,TULINENO,TUYEAR,TUMONTH,TEABSRSN,TEERN,TEERNH1O,TEERNH2,TEERNHRO,TEERNHRY,TEERNPER,TEERNRT,TEERNUOT,TEERNWKP,TEHRFTPT,TEHRUSL1,TEHRUSL2,TEHRUSLT,TEIO1COW,TEIO1ICD,TEIO1OCD,TELAYAVL,TELAYLK,TELFS,TELKAVL,TELKM1,TEMJOT,TERET1,TESCHENR,TESCHFT,TESCHLVL,TESPEMPNOT,TESPUHRS,TRCHILDNUM,TRDPFTPT,TRDTIND1,TRDTOCC1,TRERNHLY,TRERNUPD,TRERNWA,TRHERNAL,TRHHCHILD,TRHOLIDAY,TRIMIND1,TRMJIND1,TRMJOCC1,TRMJOCGR,TRNHHCHILD,TRNUMHOU,TROHHCHILD,TRSPFTPT,TRSPPRES,TRTALONE,TRTALONE_WK,TRTCC,TRTCCC,TRTCCC_WK,TRTCCTOT,TRTCHILD,TRTCOC,TRTEC,TRTFAMILY,TRTFRIEND,TRTHH,TRTHHFAMILY,TRTNOCHILD,TRTNOHH,TRTO,TRTOHH,TRTOHHCHILD,TRTONHH,TRTONHHCHILD,TRTSPONLY,TRTSPOUSE,TRTUNMPART,TRWERNAL,TRYHHCHILD,TTHR,TTOT,TTWK,TUABSOT,TUBUS,TUBUS1,TUBUS2OT,TUBUSL1,TUBUSL2,TUBUSL3,TUBUSL4,TUCC2,TUCC4,TUCC5B_CK,TUCC5_CK,TUCC9,TUDIARYDATE,TUDIARYDAY,TUDIS,TUDIS1,TUDIS2,TUECYTD,TUELDER,TUELFREQ,TUELNUM,TUERN2,TUERNH1C,TUFINLWGT,TUFWK,TUIO1MFG,TUIODP1,TUIODP2,TUIODP3,TULAY,TULAY6M,TULAYAVR,TULAYDT,TULK,TULKAVR,TULKDK1,TULKDK2,TULKDK3,TULKDK4,TULKDK5,TULKDK6,TULKM2,TULKM3,TULKM4,TULKM5,TULKM6,TULKPS1,TULKPS2,TULKPS3,TULKPS4,TULKPS5,TULKPS6,TURETOT,TUSPABS,TUSPUSFT,TUSPWK,TXABSRSN,TXERN,TXERNH1O,TXERNH2,TXERNHRO,TXERNHRY,TXERNPER,TXERNRT,TXERNUOT,TXERNWKP,TXHRFTPT,TXHRUSL1,TXHRUSL2,TXHRUSLT,TXIO1COW,TXIO1ICD,TXIO1OCD,TXLAYAVL,TXLAYLK,TXLFS,TXLKAVL,TXLKM1,TXMJOT,TXRET1,TXSCHENR,TXSCHFT,TXSCHLVL,TXSPEMPNOT,TXSPUHRS,TXTCC,TXTCCTOT,TXTCOC,TXTHH,TXTNOHH,TXTO,TXTOHH,TXTONHH,TREMODR
20220101220017,1,2022,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,040,-1,040,7,4972,4700,-1,-1,1,-1,-1,2,-1,-1,-1,-1,1,40,2,1,22,16,-1,-1,-1,-1,1,0,7,5,4,3,2,6,1,1,1,110,110,60,0,0,60,60,0,-1,130,0,60,130,0,0,60,60,60,0,0,70,110,0,-1,12,0,0,0,-1,1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,20220123,1,-1,-1,-1,-1,2,-1,-1,-1,-1,31372411.829350,1,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,1,1,0,1,-1,1,1,-1,1
20220101220500,1,2022,1,-1,-1,1600,-1,40,1,1,-1,2,-1,-1,040,-1,040,4,0170,6050,-1,-1,1,-1,-1,2,-1,2,-1,-1,1,55,0,1,1,18,1600,1,64000,0,2,0,1,1,6,4,2,3,2,1,1,770,770,0,0,0,0,0,0,-1,60,0,0,60,0,0,0,0,0,0,0,60,60,0,0,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20220127,5,-1,-1,-1,-1,2,-1,-1,-1,-1,41333240.723105,1,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,1,1,0,0,-1,0,0,-1,-1,-1,-1,-1,1
20220101220504,1,2022,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,024,-1,024,7,8980,4510,-1,-1,1,-1,-1,2,-1,-1,-1,-1,1,60,0,2,48,15,-1,-1,-1,-1,2,0,20,12,3,2,2,2,2,1,1,350,350,0,0,140,0,0,0,-1,290,0,0,290,0,0,0,0,0,0,0,290,290,0,-1,-1,0,0,0,-1,1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,20220129,7,-1,-1,-1,-1,2,-1,-1,-1,-1,5708959.047034,1,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,1
20220101220507,1,2022,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,025,-1,025,7,7890,2360,-1,-1,1,-1,-1,2,-1,-1,-1,-1,1,30,0,2,40,8,-1,-1,-1,-1,2,0,15,10,2,1,2,2,2,2,1,305,305,0,0,0,0,0,0,-1,505,0,0,310,0,0,0,0,0,0,0,310,310,0,-1,-1,0,0,0,-1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,20220130,1,-1,-1,-1,-1,2,-1,-1,-1,-1,5024633.493714,2,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,40,0,0,-1,-1,0,-1,-1,11,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,1
20220101220552,1,2022,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,2,2,-1,1,182,182,0,0,0,0,0,0,-1,678,0,0,678,0,0,0,0,0,0,0,678,678,0,-1,-1,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20220131,2,-1,-1,-1,-1,2,-1,-1,-1,-1,12479838.025173,2,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,1
20220101220574,1,2022,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,-1,-1,-1,-1,-1,1,-4,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,2,2,3,1,492,492,0,0,0,0,0,0,-1,300,0,0,300,0,0,0,0,0,0,0,300,300,0,-1,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20220125,3,-1,-1,-1,2,1,1,1,-1,-1,11289660.931211,2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,1
20220101220580,1,2022,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,1,2,-1,3,255,255,0,0,0,0,0,0,415,385,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20220130,1,-1,-1,-1,1,1,3,1,-1,-1,4102730.973460,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1
20220101220601,1,2022,1,-1,-1,-1,-1,-1,2,6,2,2,52,-1,055,-1,055,4,4470,0520,-1,-1,1,-1,-1,2,-1,-1,-1,-1,-1,-1,1,1,21,2,-1,1,175000,-1,1,0,6,5,1,1,2,4,2,-1,3,50,50,580,0,0,580,820,0,-1,820,0,580,820,820,580,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,08:00:00,20:30:00,-1,-1,-1,20220123,1,-1,-1,-1,2,1,4,1,-1,-1,8807753.899062,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,1
20220101220605,1,2022,1,-1,-1,-1,-1,-1,2,6,2,2,52,-1,040,-1,040,4,5570,5400,-1,-1,1,-1,-1,2,-1,-1,-1,-1,1,40,0,1,22,17,-1,0,76923,-1,2,0,7,5,5,3,2,3,2,1,1,1348,1348,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20220130,1,-1,-1,-1,2,1,2,1,-1,-1,10180753.488565,1,4,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,1
20220101220613,1,2022,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,2,-1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,2,2,2,-1,2,270,270,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,420,-1,-1,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20220125,3,-1,-1,-1,-1,1,6,-1,-1,-1,19427998.704977,2,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,1
