TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20220101220017,1,52,18,1,0,0,0
20220101220017,2,49,20,2,0,0,0
20220101220017,3,22,22,2,0,0,0
20220101220017,4,17,22,2,0,0,0
20220101220017,5,12,22,1,0,0,0
20220101220017,6,80,26,2,0,0,0
20220101220500,1,30,18,2,0,0,0
20220101220500,2,63,26,2,0,0,0
20220101220500,3,27,20,1,0,0,0
20220101220504,1,64,18,2,0,0,0
20220101220504,2,66,20,1,0,0,0
20220101220507,1,60,18,2,0,0,0
20220101220507,2,66,20,1,0,0,0
20220101220552,1,73,18,1,0,0,0
20220101220552,2,70,20,2,0,0,0
20220101220574,1,74,18,1,0,0,0
20220101220574,2,70,20,2,0,0,0
20220101220580,1,63,19,2,0,0,0
20220101220601,1,58,18,2,0,0,0
20220101220601,2,28,22,2,0,0,0
20220101220601,3,38,26,1,0,0,0
20220101220601,4,6,23,1,0,0,0
20220101220605,1,62,18,2,0,0,0
20220101220605,2,63,20,1,0,0,0
20220101220605,3,22,22,1,0,0,0
20220101220613,1,39,19,1,0,0,0
20220101220613,2,36,21,2,0,0,0
20220101220668,1,45,18,2,0,0,0
20220101220668,2,46,20,1,0,0,0
20220101220668,3,19,22,2,0,0,0
20220101220688,1,34,18,2,0,0,0
20220101220688,2,42,20,1,0,0,0
20220101220694,1,85,19,1,60,0,0
20220101220695,1,61,18,1,0,0,0
20220101220695,2,76,20,2,0,0,0
20220101220695,3,42,30,1,0,0,0
20220101220720,1,70,19,1,0,0,0
20220101220721,1,42,18,1,0,0,0
20220101220721,2,4,22,2,0,0,0
20220101220721,3,41,21,2,0,0,0
20220101220722,1,38,18,2,0,0,0
20220101220722,2,45,20,1,0,0,0
20220101220722,3,8,22,1,0,0,0
20220101220722,4,5,22,2,0,0,0
20220101220736,1,74,19,2,0,0,0
20220101220764,1,69,19,2,0,0,0
20220101220766,1,60,18,1,0,0,0
20220101220766,2,60,20,2,0,0,0
20220101220767,1,80,19,1,60,0,0
20220101220778,1,69,18,1,0,0,0
20220101220778,2,69,20,2,0,0,0
20220101220796,1,69,19,2,0,0,0
20220101220809,1,45,18,2,0,0,0
20220101220809,2,49,20,1,0,0,0
20220101220809,3,14,22,2,0,0,0
20220101220809,4,11,22,1,0,0,0
20220101220809,5,9,22,1,0,0,0
20220101220811,1,71,18,2,0,0,0
20220101220811,2,72,20,1,0,0,0
20220101220876,1,68,18,1,0,0,0
20220101220876,2,69,20,2,0,0,0
20220101220877,1,80,19,2,0,0,0
20220101220882,1,73,18,2,0,0,0
20220101220882,2,79,20,1,0,0,0
20220101220890,1,45,18,2,0,0,0
20220101220890,2,46,20,1,0,0,0
20220101220890,3,17,22,1,0,0,0
20220101220890,4,12,22,1,0,0,0
20220101220902,1,71,18,2,0,0,0
20220101220902,2,76,20,1,0,0,0
20220101220918,1,53,18,1,0,0,0
20220101220918,2,57,20,2,0,0,0
20220101220940,1,34,18,2,0,0,0
20220101220940,2,31,20,1,0,0,0
20220101220940,3,9,22,1,0,0,0
20220101220940,4,5,22,2,0,0,0
20220101220971,1,78,18,1,0,0,0
20220101220971,2,44,22,1,0,0,0
20220101220976,1,47,18,1,0,0,0
20220101220976,2,37,20,2,0,0,0
20220101220976,3,16,22,2,0,0,0
20220101220976,4,11,22,1,0,0,0
20220101220989,1,20,18,2,0,0,0
20220101220989,2,52,24,1,0,0,0
20220101220989,3,50,24,2,0,0,0
20220101220989,4,27,25,2,0,0,0
20220101220989,5,21,25,2,0,0,0
20220101220989,6,19,25,1,0,0,0
20220101220989,7,18,25,2,0,0,0
20220101220989,8,15,25,2,0,0,0
20220101220989,9,13,25,2,0,0,0
20220101221007,1,45,18,1,0,0,0
20220101221007,2,46,20,2,0,0,0
20220101221007,3,10,22,2,0,0,0
20220101221007,4,80,26,2,0,0,0
20220101221025,1,75,18,2,0,0,0
20220101221025,2,54,22,1,0,0,0
20220101221028,1,46,18,1,0,0,0
20220101221028,2,45,20,2,0,0,0
20220101221028,3,22,22,1,0,0,0
20220101221028,4,20,22,1,0,0,0
20220101221028,5,15,22,2,0,0,0
20220101221043,1,49,19,1,0,0,0
20220101221046,1,77,18,2,0,0,0
20220101221046,2,78,20,1,0,0,0
20220101221063,1,76,18,2,0,0,0
20220101221063,2,66,20,1,0,0,0
20220101221066,1,61,19,2,0,0,0
20220101221076,1,68,18,1,0,0,0
20220101221076,2,65,20,2,0,0,0
20220101221099,1,68,18,1,0,0,0
20220101221099,2,68,20,2,0,0,0
20220101221113,1,60,18,1,0,0,0
20220101221113,2,42,20,2,0,0,0
20220101221164,1,70,18,2,0,0,0
20220101221164,2,73,20,1,0,0,0
20220101221167,1,33,18,2,0,0,0
20220101221167,2,38,25,1,0,0,0
20220101221187,1,15,18,2,0,0,0
20220101221187,2,18,25,2,0,0,0
20220101221187,3,42,24,1,0,0,0
20220101221192,1,15,18,2,0,0,0
20220101221192,2,33,24,1,0,0,0
20220101221192,3,31,24,2,0,0,0
20220101221192,4,13,25,1,0,0,0
20220101221192,5,11,25,1,0,0,0
20220101221192,6,7,25,1,0,0,0
20220101221199,1,77,18,2,0,0,0
20220101221199,2,80,20,1,0,0,0
20220101221221,1,55,18,2,0,0,0
20220101221221,2,56,20,1,0,0,0
20220101221224,1,49,18,1,0,0,0
20220101221224,2,46,20,2,0,0,0
20220101221224,3,17,22,2,0,0,0
20220101221230,1,46,18,2,0,0,0
20220101221230,2,47,20,1,0,0,0
20220101221237,1,42,18,1,0,0,0
20220101221237,2,29,20,2,0,0,0
20220101221237,3,7,22,1,0,0,0
20220101221237,4,2,22,1,0,0,0
20220101221242,1,35,19,1,0,0,0
20220101221254,1,68,19,2,0,0,0
20220101221282,1,67,18,2,0,0,0
20220101221282,2,67,20,1,0,0,0
20220101221291,1,57,19,1,0,0,0
20220101221300,1,56,18,1,0,0,0
20220101221300,2,51,20,2,0,0,0
20220101221300,3,17,22,1,0,0,0
20220101221300,4,14,22,1,0,0,0
20220101221300,5,71,26,2,0,0,0
20220101221311,1,85,19,2,60,0,0
20220101221318,1,62,19,1,0,0,0
20220101221323,1,56,18,1,0,0,0
20220101221323,2,56,20,2,0,0,0
20220101221323,3,17,22,2,0,0,0
20220101221372,1,48,18,2,0,0,0
20220101221372,2,56,20,1,0,0,0
20220101221372,3,15,22,1,0,0,0
20220101221374,1,30,18,2,0,0,0
20220101221374,2,32,20,1,0,0,0
